id_item,categoria,grupo_insumo,item_curto,descricao,termos_busca
1,EQUIPAMENTO,BALANÇA,Balança digital de precisão,"Balança digital de precisão, capacidade máxima de 30 kg, resolução compatível com a capacidade do equipamento, display LCD de fácil leitura, prato em aço inoxidável, gabinete em plástico ABS de alta resistência, funções de tara e zero, alimentação elétrica bivolt automático (100–240 V, 50/60 Hz), consumo aproximado de 10 W e bateria interna recarregável, destinada à pesagem de ingredientes e insumos",balanca 30 kg | balanca inox | balanca digital precisao | balanca
2,EQUIPAMENTO,BALANÇA,Balança eletrônica digital de plataforma com coluna,"Balança eletrônica digital de plataforma com coluna, capacidade máxima de 150 kg, divisão máxima de 100 g, plataforma em aço inoxidável com dimensões mínimas de 300 × 400 mm, estrutura em aço carbono com pintura industrial ou aço inox, visor digital com no mínimo 5 dígitos instalado em coluna, funções Zero e Tara, bateria interna recarregável, rodízios para movimentação, equipamento certificado pelo INMETRO (Classe III), destinada à pesagem e conferência de gêneros alimentícios - Alimentação 220 V",balanca 150 kg | balanca inox | balanca eletronica digital | balanca
3,EQUIPAMENTO,BATEDEIRA,Batedeira planetária industrial,"Batedeira planetária industrial, capacidade de 12 litros, estrutura em aço carbono com acabamento em pintura epóxi, cuba removível em aço inoxidável, sistema planetário de mistura, controle de velocidade, acompanha batedores tipo globo, raquete e gancho, grade de proteção e dispositivos de segurança conforme NR-12, alimentação elétrica 220 V, - Potência elétrica: 1/2 CV (≈ 368 W)",batedeira 12 l | batedeira inox | batedeira planetaria industrial | batedeira
33,EQUIPAMENTO,BATEDEIRA,Batedeira planetária industrial,"Batedeira planetária industrial, capacidade aproximada de 6 litros, estrutura em aço carbono com acabamento em pintura epóxi, cuba removível em aço inoxidável, sistema planetário de mistura, controle de velocidade, acompanha batedores tipo globo, raquete e gancho, grade de proteção e dispositivos de segurança conforme NR-12, alimentação elétrica 220 V.",batedeira 6 l | batedeira inox | batedeira planetaria industrial | batedeira
4,EQUIPAMENTO,BATEDEIRA,Batedeira planetária industrial,"Batedeira planetária industrial, capacidade mínima de 38 litros, estrutura em aço carbono com pintura epóxi ou aço inoxidável, cuba removível em aço inoxidável AISI 304, sistema planetário de mistura, mínimo de 4 velocidades, batedores tipo globo, raquete e gancho, dispositivos de segurança conforme NR-12, alimentação 220 V monofásica - Potência elétrica mínima: 1,5 cv (≈1.100 W)",batedeira 38 l | batedeira inox | batedeira planetaria industrial | batedeira
5,EQUIPAMENTO,CHAPA,Chapa bifeteira industrial a gás GLP,"Chapa bifeteira industrial a gás GLP, modelo de 1500 mm, estrutura em aço inoxidável, superfície de cocção em aço carbono com espessura de aproximadamente 12,7 mm, equipada com queimadores tubulares de alto rendimento, controle individual de chama por meio de registros, sistema de coleta de gordura através de gaveta/bandeja removível, pés reguláveis para nivelamento e alimentação a gás GLP em baixa pressão. Potência térmica aproximada de 18.000 kcal/h e consumo de gás aproximadamente 1,40 kg/h",chapa 1500 mm | chapa inox | chapa bifeteira industrial | chapa
6,EQUIPAMENTO,CHAPA,Chapa bifeteira industrial a gás GLP,"Chapa bifeteira industrial a gás GLP, modelo de 900 mm, estrutura em aço inoxidável, superfície de cocção em aço carbono com espessura aproximada de 19 mm, equipada com queimadores industriais de alto rendimento, controle individual de chama por meio de registros, sistema de coleta de gordura através de gaveta removível em aço inox, pés reguláveis para nivelamento e alimentação a gás GLP em baixa pressão. Potência térmica aproximada de 79.000 BTU/h e consumo máximo de gás aproximado de 1,65 kg/h",chapa 900 mm | chapa inox | chapa bifeteira industrial | chapa
11,EQUIPAMENTO,COIFA,Coifa industrial modular de parede,"Coifa industrial modular de parede, fabricada em aço inoxidável AISI 304, destinada à captação de vapores, fumaça e gordura provenientes de equipamentos de cocção profissional, compatível com fogão industrial de 6 queimadores. Equipada com filtros inerciais tipo labirinto em aço inoxidável removíveis, calha coletora de gordura, iluminação embutida e sistema de exaustão composto por exaustor centrífugo. Dimensões compatíveis com cada equipamento de cocção, com vazão mínima dimensionada conforme aplicação, alimentação elétrica 220 V e potência do exaustor conforme dimensionamento do sistema de exaustão (referência mínima: 1 CV ≈ 750W)",coifa inox | coifa industrial modular | coifa
12,EQUIPAMENTO,COIFA,Coifa industrial modular de parede,"Coifa industrial modular de parede, fabricada em aço inoxidável AISI 304, destinada à captação de vapores, fumaça e gordura provenientes de equipamentos de cocção profissional, compatível com fogão industrial de 8 queimadores. Equipada com filtros inerciais tipo labirinto em aço inoxidável removíveis, calha coletora de gordura, iluminação embutida e sistema de exaustão composto por exaustor centrífugo. Dimensões compatíveis com cada equipamento de cocção, com vazão mínima dimensionada conforme aplicação, alimentação elétrica 220 V e potência do exaustor conforme dimensionamento do sistema de exaustão (referência mínima: 1 CV ≈ 750W)",coifa inox | coifa industrial modular | coifa
7,EQUIPAMENTO,COIFA,Coifa industrial modular de parede,"Coifa industrial modular de parede, fabricada em aço inoxidável AISI 304, destinada à captação de vapores, fumaça e gordura provenientes de equipamentos de cocção profissional, compatível com chapa bifeteira de 1.500 mm. Equipada com filtros inerciais tipo labirinto em aço inoxidável removíveis, calha coletora de gordura, iluminação embutida e sistema de exaustão composto por exaustor centrífugo. Dimensões compatíveis com cada equipamento de cocção, com vazão mínima dimensionada conforme aplicação, alimentação elétrica 220 V e potência do exaustor conforme dimensionamento do sistema de exaustão (referência mínima: 1 CV ≈ 750W)",coifa 1500 mm | coifa inox | coifa industrial modular | coifa
8,EQUIPAMENTO,COIFA,Coifa industrial modular de parede,"Coifa industrial modular de parede, fabricada em aço inoxidável AISI 304, destinada à captação de vapores, fumaça e gordura provenientes de equipamentos de cocção profissional, compatível com chapa bifeteira de 900 mm. Equipada com filtros inerciais tipo labirinto em aço inoxidável removíveis, calha coletora de gordura, iluminação embutida e sistema de exaustão composto por exaustor centrífugo. Dimensões compatíveis com cada equipamento de cocção, com vazão mínima dimensionada conforme aplicação, alimentação elétrica 220 V e potência do exaustor conforme dimensionamento do sistema de exaustão (referência mínima: 1 CV ≈ 750W)",coifa 900 mm | coifa inox | coifa industrial modular | coifa
E036,EQUIPAMENTO,ESTERILIZADOR,Esterilizador elétrico de mamadeiras a vapor,"Esterilizador elétrico de mamadeiras a vapor, com capacidade para até 6 mamadeiras e respectivos acessórios, funcionamento por vapor de água sem utilização de produtos químicos, ciclo de esterilização de aproximadamente 10 minutos, desligamento automático ao término do ciclo, potência de 650 W, alimentação elétrica em 220 V, estrutura desmontável e compatível com mamadeiras, bicos, chupetas e demais acessórios para alimentação infantil, livre de BPA, acompanhado de pinça para manipulação dos itens esterilizados (esterilizador de mamadeiras0",esterilizador eletrico mamadeiras | esterilizador
15,EQUIPAMENTO,FOGÃO,Fogão industrial profissional a gás GLP,"Fogão industrial profissional a gás GLP, baixa pressão, 4 queimadores (2 simples e 2 duplos), estrutura em aço inoxidável AISI 430, grelhas removíveis em ferro fundido (300 × 300 mm ou 400 × 400 mm), queimadores industriais em ferro fundido, registros individuais para controle de chama, bandeja coletora removível. Sem forno.",fogao 4 queimadores | fogao inox | fogao industrial profissional | fogao
16,EQUIPAMENTO,FOGÃO,Fogão industrial profissional a gás GLP,"Fogão industrial profissional a gás GLP, baixa pressão, com 5 queimadores industriais, estrutura em aço inoxidável, grelhas removíveis em ferro fundido, queimadores industriais em ferro fundido, registros individuais para controle de chama, bandeja coletora removível em aço inoxidável e mesa superior em aço inox. Sem forno.",fogao 5 queimadores | fogao inox | fogao industrial profissional | fogao
17,EQUIPAMENTO,FOGÃO,Fogão industrial profissional a gás GLP,"Fogão industrial profissional a gás GLP, baixa pressão, com 6 queimadores (3 simples e 3 duplos), estrutura em aço inoxidável, grelhas removíveis em ferro fundido de aproximadamente 400 × 400 mm, queimadores industriais, registros individuais de controle de chama (sem forno)",fogao 6 queimadores | fogao inox | fogao industrial profissional | fogao
